----- CLIENT CACHE -----
getNumberofCountries 39 26000 115288  Zone:1 52
getNumberofCountries 44 52930 112151  Zone:5 24
getNumberofCountries 19 88080 163749  Zone:5 28
getNumberofCountries 38 67728 135271  Zone:1 23
getNumberofCountries 14 53185 104320  Zone:5 51
getNumberofCountries 26 44132 104884  Zone:2 41
getNumberofCountries 4 26295 32725  Zone:1 87
getNumberofCountries 35 47521 143749  Zone:5 36
getNumberofCountries 50 32931 54426  Zone:2 21
getNumberofCountries 18 82502 166121  Zone:1 32
getNumberofCountries 37 51093 69941  Zone:5 15
getNumberofCountries 20 88451 159264  Zone:1 26
getNumberofCountries 17 46927 96309  Zone:2 51
getNumberofCountries 32 63390 152912  Zone:2 30
getNumberofCountries 31 28545 48490  Zone:1 32
getNumberofCountries 1 75277 110899  Zone:2 149
getNumberofCountries 11 92241 98676  Zone:5 6
getNumberofCountries 35 55848 73143  Zone:1 12
getNumberofCountries 24 49572 80660  Zone:2 32
getNumberofCountries 28 11857 23449  Zone:5 58
getNumberofCountries 18 69904 119037  Zone:2 29
getNumberofCountries 46 98290 125164  Zone:5 5
getNumberofCountries 49 40125 66331  Zone:2 18
getNumberofCountries 31 76532 83145  Zone:5 3
getNumberofCountries 10 107569 111765  Zone:5 4
getNumberofCountries 2 42487 106841  Zone:2 149
getNumberofCountries 12 102306 200590  Zone:5 40
getNumberofCountries 40 59748 120315  Zone:2 23
getNumberofCountries 39 63205 138217  Zone:5 23
getNumberofCountries 43 73989 149784  Zone:5 17
getNumberofCountries 31 41697 128218  Zone:2 42
getNumberofCountries 25 56841 96653  Zone:5 29
getNumberofCountries 50 79312 155371  Zone:2 14
getNumberofCountries 16 17136 71980  Zone:5 106
getNumberofCountries 1 35536 38625  Zone:2 112
getNumberofCountries 26 36349 85074  Zone:5 48
getNumberofCountries 40 45661 102827  Zone:2 29
getNumberofCountries 41 99830 129236  Zone:5 6
getNumberofCountries 5 74568 91737  Zone:2 45
getNumberofCountries 35 94789 129232  Zone:2 8
getNumberofCountries 23 53247 109979  Zone:5 37
getNumberofCountries 26 108363 151844  Zone:2 10
getNumberofCountries 37 59132 141719  Zone:5 29
getNumberofCountries 45 109430 135643  Zone:2 3
getNumberofCountries 42 48717 74733  Zone:2 19
