----- SERVER 1-----
getNumberOfCountries_2_28523 170
getNumberOfCountries_3_78358 134
getNumberOfCountries_11_25507 130
getNumberOfCountries_7_90669 93
getNumberOfCountries_19_62941 61
getNumberOfCountries_21_45076 72
getNumberOfCountries_21_13776 123
getNumberOfCountries_28_99765 34
getNumberOfCountries_6_72883 110
getNumberOfCountries_29_23666 79
getNumberOfCountries_22_10403 127
getNumberOfCountries_2_62181 157
getNumberOfCountries_24_16164 108
getNumberOfCountries_13_105173 55
getNumberOfCountries_30_29397 73
getNumberOfCountries_14_76065 66
getNumberOfCountries_20_49905 68
getNumberOfCountries_10_102632 67
getNumberOfCountries_21_67840 52
getNumberOfCountries_26_51585 53
getNumberOfCountries_8_71861 93
getNumberOfCountries_27_100145 34
getNumberOfCountries_22_93018 43
getNumberOfCountries_22_74249 48
getNumberOfCountries_29_25821 77
getNumberOfCountries_4_94465 116
getNumberOfCountries_15_56956 75
getNumberOfCountries_5_89906 109
getNumberOfCountries_23_51855 59
getNumberOfCountries_7_56694 116
getNumberOfCountries_12_53169 91
getNumberOfCountries_7_31255 139
getNumberOfCountries_4_11136 179
getNumberOfCountries_14_71156 71
getNumberOfCountries_23_38502 72
getNumberOfCountries_5_78438 119
getNumberOfCountries_4_22230 158
getNumberOfCountries_15_50498 82
getNumberOfCountries_22_100787 42
getNumberOfCountries_5_22322 154
getNumberOfCountries_1_15518 207
getNumberOfCountries_20_26149 97
getNumberOfCountries_24_32439 76
getNumberOfCountries_27_80708 42
getNumberOfCountries_10_89333 72
getNumberOfCountries_9_14247 153
getNumberOfCountries_17_21777 114
getNumberOfCountries_23_87045 44
getNumberOfCountries_23_87408 43
getNumberOfCountries_4_49656 141
getNumberOfCountries_17_103861 47
getNumberOfCountries_15_32837 103
getNumberOfCountries_22_65482 53
getNumberOfCountries_16_97018 52
getNumberOfCountries_16_78474 56
getNumberOfCountries_15_57095 75
getNumberOfCountries_19_15252 125
getNumberOfCountries_26_69995_121701 26
getNumberOfCountries_30_68620_135628 26
getNumberOfCountries_26_34847_70572 43
getNumberOfCountries_5_46574_94590 112
getNumberOfCountries_48_79736_161246 14
getNumberOfCountries_9_76056_89907 24
getNumberOfCountries_33_40558_82088 34
getNumberOfCountries_16_69613_74598 5
getNumberOfCountries_28_23115_43763 48
getNumberOfCountries_10_36924_110314 95
getNumberOfCountries_17_27103_56188 70
getNumberOfCountries_9_42509_44578 12
getNumberOfCountries_5_37728_92747 127
getNumberOfCountries_28_81955_83306 0
getNumberOfCountries_27_96257_166758 19
getNumberOfCountries_10_108453_126243 16
getNumberOfCountries_35_44712_51975 10
getNumberOfCountries_9_58555_115728 69
getNumberOfCountries_39_10850_79123 82
getNumberOfCountries_34_28978_109390 53
getNumberOfCountries_25_76487_128691 22
getNumberOfCountries_48_109782_120520 0
getNumberOfCountries_27_85844_175280 25
getNumberOfCountries_28_90047_171109 24
getNumberOfCountries_5_19658_51512 143
getNumberOfCountries_26_17735_109644 88
getNumberOfCountries_38_69065_110628 16
getNumberOfCountries_43_11725_89360 78
getNumberOfCountries_22_94037_96924 0
getNumberOfCountries_32_80142_145280 19
getNumberOfCountries_49_44008_69449 17
getNumberOfCountries_38_19073_96544 67
getNumberOfCountries_41_73075_169009 23
getNumberOfCountries_27_14336_62792 89
getNumberOfCountries_46_71099_76221 2
getNumberOfCountries_21_21875_78405 81
getNumberOfCountries_1_50936_94950 166
getNumberOfCountries_37_101867_165544 11
getNumberOfCountries_36_60743_75121 8
getNumberOfCountries_17_30268_116162 81
getNumberOfCountries_4_82713_122684 74
getNumberOfCountries_32_90646_148834 14
getNumberOfCountries_40_69133_164107 24
getNumberOfCountries_23_19969_36627 53
getNumberOfCountries_12_12679_27582 106
getNumberOfCountries_18_48515_91868 44
getNumberOfCountries_8_32447_59785 93
getNumberOfCountries_21_104427_141660 14
getNumberOfCountries_17_72322_111243 28
getNumberOfCountries_43_26773_84823 44
getNumberOfCountries_21_32369_60783 51
